City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
265,Colombia,CU,2021-07-24 15:43:18,20.9881,-77.4297,86.72,61,88,5.64
266,Kupang,ID,2021-07-24 15:43:18,-10.1667,123.5833,71.64,78,29,6.67
267,Fortuna,US,2021-07-24 15:43:18,40.5982,-124.1573,54.99,91,1,0.0
268,Mount Gambier,AU,2021-07-24 15:43:19,-37.8333,140.7667,40.91,93,75,17.27
269,Bambous Virieux,MU,2021-07-24 15:43:19,-20.3428,57.7575,70.05,73,20,9.22
270,Susanville,US,2021-07-24 15:43:20,40.4163,-120.653,69.64,24,1,0.0
271,Farah,AF,2021-07-24 15:43:20,32.5,62.5,96.98,8,6,3.56
272,Manzhouli,CN,2021-07-24 15:43:21,49.6,117.4333,58.51,89,2,7.02
273,Bukama,CD,2021-07-24 15:43:21,-9.2,25.85,84.85,25,2,4.97
274,Burley,US,2021-07-24 15:43:22,42.5357,-113.7928,75.11,48,1,3.44
275,Konevo,RU,2021-07-24 15:34:23,62.1215,39.3192,56.86,54,100,4.34
276,Tolaga Bay,NZ,2021-07-24 15:43:22,-38.3667,178.3,51.19,78,100,5.86
277,Nadym,RU,2021-07-24 15:43:23,65.5333,72.5167,57.24,90,100,8.66
278,Geraldton,AU,2021-07-24 15:33:36,-28.7667,114.6,55.81,88,90,5.75
279,Malabo,GQ,2021-07-24 15:43:23,3.75,8.7833,82.26,78,75,13.8
280,Uniontown,US,2021-07-24 15:43:24,39.9001,-79.7164,81.66,44,22,4.0
281,Machinga,MW,2021-07-24 15:43:24,-15.1685,35.3,61.23,68,94,6.51
282,Tautira,PF,2021-07-24 15:43:24,-17.7333,-149.15,69.82,70,0,8.86
283,Rapid Valley,US,2021-07-24 15:42:26,44.0625,-103.1463,84.63,50,1,1.01
284,Savinka,RU,2021-07-24 15:43:25,50.0785,47.0994,76.8,37,42,13.4
285,Ca Mau,VN,2021-07-24 15:43:01,9.1769,105.15,78.62,85,97,8.25
286,Prieska,ZA,2021-07-24 15:43:25,-29.6641,22.7474,50.83,18,0,6.67
287,Daman,IN,2021-07-24 15:43:26,20.4167,72.85,81.1,89,99,14.5
288,Channel-Port Aux Basques,CA,2021-07-24 15:43:26,47.5702,-59.1367,58.91,84,93,11.03
289,Mogadishu,SO,2021-07-24 15:39:22,2.0371,45.3438,76.8,79,59,23.82
290,Kushmurun,KZ,2021-07-24 15:43:27,52.4503,64.6311,70.56,78,100,4.9
291,Vao,NC,2021-07-24 15:43:27,-22.6667,167.4833,70.74,85,27,7.27
292,Moosomin,CA,2021-07-24 15:43:28,50.1333,-101.6677,74.37,33,0,20.36
